anime_id,title_romaji,title_english,title_native,season,season_year,type,format,status,episodes,duration,average_score,popularity,favorites,genres,country,source_material,studio,start_year,start_month,start_day
606,Kazemakase Tsukikage Ran,Carried by the Wind: Tsukikage Ran,風まかせ月影蘭,WINTER,2000.0,ANIME,TV,FINISHED,13.0,24,69,5237,67,"Adventure, Comedy",JP,ORIGINAL,MADHOUSE,2000,1.0,26.0
607,Otogi-juushi Akazukin,Fairy Musketeers,おとぎ銃士 赤ずきん,SUMMER,2006.0,ANIME,TV,FINISHED,39.0,24,65,2526,23,"Adventure, Comedy, Fantasy",JP,ORIGINAL,MADHOUSE,2006,7.0,1.0
608,Sakura Taisen: Katsudou Shashin,Sakura Wars: The Movie,サクラ大戦 活動写真,FALL,2001.0,ANIME,MOVIE,FINISHED,1.0,85,63,2064,20,"Adventure, Drama, Mecha, Romance, Sci-Fi",JP,VIDEO_GAME,Production I.G,2001,12.0,22.0
609,Saishuu Heiki Kanojo: Another Love Song,Saikano: Another Love Song,最終兵器彼女Another Love Song,SUMMER,2005.0,ANIME,OVA,FINISHED,2.0,32,65,3567,14,"Drama, Romance, Sci-Fi",JP,MANGA,Studio Fantasia,2005,8.0,5.0
610,Popotan,Popotan,ぽぽたん,SUMMER,2003.0,ANIME,TV,FINISHED,12.0,24,57,6522,54,"Comedy, Drama, Ecchi, Supernatural",JP,VISUAL_NOVEL,Shaft,2003,7.0,18.0
611,Platonic Chain,,プラトニック・チェーン,FALL,2002.0,ANIME,TV_SHORT,FINISHED,24.0,6,52,2596,31,"Drama, Romance, Sci-Fi",JP,OTHER,,2002,10.0,4.0
612,PetoPeto-san,,ぺとぺとさん,SUMMER,2005.0,ANIME,TV,FINISHED,13.0,25,61,1950,12,"Comedy, Fantasy, Romance",JP,LIGHT_NOVEL,Xebec,2005,7.0,9.0
613,Onmyou Tai Senki,,陰陽大戦記,FALL,2004.0,ANIME,TV,FINISHED,52.0,23,60,1401,16,"Action, Adventure, Fantasy, Supernatural",JP,MANGA,,2004,11.0,30.0
614,Okusama wa Mahou Shoujo,Madam is a Magical Girl,奥さまは魔法少女,SUMMER,2005.0,ANIME,TV,FINISHED,13.0,24,60,3335,25,"Drama, Ecchi, Mahou Shoujo, Romance",JP,ORIGINAL,J.C.STAFF,2005,7.0,4.0
615,Nurse Witch Komugi-chan Magikarte,Nurse Witch Komugi,ナースウィッチ小麦ちゃんマジカルて,SUMMER,2002.0,ANIME,OVA,FINISHED,5.0,24,65,7591,124,"Comedy, Mahou Shoujo, Sci-Fi",JP,ORIGINAL,Kyoto Animation,2002,8.0,23.0
616,Nurse Angel Ririka SOS,,ナースエンジェルりりかＳＯＳ,SUMMER,1995.0,ANIME,TV,FINISHED,35.0,24,68,2374,50,"Drama, Fantasy, Mahou Shoujo",JP,MANGA,Studio Gallop,1995,7.0,7.0
617,Juubee Ninpuuchou,Ninja Scroll,獣兵衛忍風帖,SPRING,1993.0,ANIME,MOVIE,FINISHED,1.0,94,73,35862,742,"Action, Adventure, Fantasy, Horror, Romance",JP,ORIGINAL,Animate Film,1993,6.0,5.0
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,Ninja Scroll: The Series,獣兵衛忍風帖「龍宝玉篇」,SPRING,2003.0,ANIME,TV,FINISHED,13.0,24,62,9089,91,"Adventure, Horror, Supernatural",JP,ORIGINAL,MADHOUSE,2003,4.0,15.0
619,Ninja Ryuukenden,Ninja Ryuukenden,忍者龍剣伝,FALL,1991.0,ANIME,OVA,FINISHED,1.0,45,56,1667,10,"Action, Adventure, Drama, Sci-Fi",JP,VIDEO_GAME,Studio Junio,1991,11.0,22.0
620,Takahashi Rumiko Gekijou: Ningyo no Mori,Mermaid Forest (TV),高橋留美子劇場 人魚の森,FALL,2003.0,ANIME,TV,FINISHED,13.0,24,66,6615,67,"Drama, Fantasy, Horror, Mystery",JP,MANGA,TMS Entertainment,2003,10.0,5.0
621,Night Walker: Mayonaka no Tantei,Nightwalker: The Midnight Detective,ナイトウォーカー真夜中の探偵,SUMMER,1998.0,ANIME,TV,FINISHED,12.0,25,64,4981,55,"Action, Comedy, Horror, Mystery",JP,VISUAL_NOVEL,AIC,1998,7.0,8.0
622,Natsuiro no Sunadokei,Hourglass of Summer,夏色の砂時計,SPRING,2004.0,ANIME,OVA,FINISHED,2.0,30,60,2294,12,"Comedy, Drama, Romance, Sci-Fi",JP,VISUAL_NOVEL,,2004,5.0,21.0
